MPH,Time of Day,Temperature,Wheater,Week Day,Collector
33,10:53 AM,53,Sunny,Tuesday,Gavin
35,10:54 AM,53,Sunny,Tuesday,Gavin
37,10:54 AM,53,Sunny,Tuesday,Gavin
35,10:54 AM,53,Sunny,Tuesday,Gavin
22,10:55 AM,53,Sunny,Tuesday,Gavin
34,10:55 AM,53,Sunny,Tuesday,Gavin
31,10:55 AM,53,Sunny,Tuesday,Gavin
36,10:56 AM,53,Sunny,Tuesday,Gavin
36,10:56 AM,53,Sunny,Tuesday,Gavin
30,10:57 AM,53,Sunny,Tuesday,Gavin
31,10:57 AM,53,Sunny,Tuesday,Gavin
35,10:57 AM,53,Sunny,Tuesday,Gavin
38,10:57 AM,53,Sunny,Tuesday,Gavin
24,10:58 AM,53,Sunny,Tuesday,Gavin
27,10:58 AM,53,Sunny,Tuesday,Gavin
37,10:59 AM,53,Sunny,Tuesday,Gavin
34,10:59 AM,53,Sunny,Tuesday,Gavin
29,10:59 AM,53,Sunny,Tuesday,Gavin
29,10:59 AM,53,Sunny,Tuesday,Gavin
28,10:59 AM,53,Sunny,Tuesday,Gavin
33,10:59 AM,53,Sunny,Tuesday,Gavin
34,11:00 AM,53,Sunny,Tuesday,Gavin
32,11:00 AM,53,Sunny,Tuesday,Gavin
33,11:00 AM,53,Sunny,Tuesday,Gavin
34,11:00 AM,53,Sunny,Tuesday,Gavin
34,11:00 AM,53,Sunny,Tuesday,Gavin
35,11:00 AM,53,Sunny,Tuesday,Gavin
33,11:01 AM,53,Sunny,Tuesday,Gavin
34,11:01 AM,53,Sunny,Tuesday,Gavin
31,11:01 AM,53,Sunny,Tuesday,Gavin
32,11:01 AM,53,Sunny,Tuesday,Gavin
31,11:02 AM,53,Sunny,Tuesday,Gavin
32,11:03 AM,53,Sunny,Tuesday,Gavin
30,11:03 AM,53,Sunny,Tuesday,Gavin
36,11:03 AM,53,Sunny,Tuesday,Gavin
33,11:04 AM,53,Sunny,Tuesday,Gavin
32,11:04 AM,53,Sunny,Tuesday,Gavin
30,11:04 AM,53,Sunny,Tuesday,Gavin
40,11:04 AM,53,Sunny,Tuesday,Gavin
39,11:04 AM,53,Sunny,Tuesday,Gavin
36,11:05 AM,53,Sunny,Tuesday,Gavin
36,11:05 AM,53,Sunny,Tuesday,Gavin
38,11:05 AM,53,Sunny,Tuesday,Gavin
29,11:05 AM,53,Sunny,Tuesday,Gavin
31,11:06 AM,53,Sunny,Tuesday,Gavin
29,11:06 AM,53,Sunny,Tuesday,Gavin
30,11:06 AM,53,Sunny,Tuesday,Gavin
36,11:06 AM,53,Sunny,Tuesday,Gavin
39,11:06 AM,53,Sunny,Tuesday,Gavin
32,11:07 AM,53,Sunny,Tuesday,Gavin
36,6:19 PM,68,Sunny,Friday,Gianni
34,6:19 PM,68,Sunny,Friday,Gianni
30,6:20 PM,68,Sunny,Friday,Gianni
35,6:20 PM,68,Sunny,Friday,Gianni
31,6:20 PM,68,Sunny,Friday,Gianni
28,6:20 PM,68,Sunny,Friday,Gianni
31,6:20 PM,68,Sunny,Friday,Gianni
35,6:21 PM,68,Sunny,Friday,Gianni
28,6:21 PM,68,Sunny,Friday,Gianni
39,6:21 PM,68,Sunny,Friday,Gianni
40,6:21 PM,68,Sunny,Friday,Gianni
35,6:21 PM,68,Sunny,Friday,Gianni
38,6:22 PM,68,Sunny,Friday,Gianni
36,6:22 PM,68,Sunny,Friday,Gianni
28,6:22 PM,68,Sunny,Friday,Gianni
30,6:22 PM,68,Sunny,Friday,Gianni
29,6:23 PM,68,Sunny,Friday,Gianni
34,6:23 PM,68,Sunny,Friday,Gianni
34,6:23 PM,68,Sunny,Friday,Gianni
30,6:24 PM,68,Sunny,Friday,Gianni
34,6:24 PM,68,Sunny,Friday,Gianni
36,6:24 PM,68,Sunny,Friday,Gianni
39,6:24 PM,68,Sunny,Friday,Gianni
32,6:25 PM,68,Sunny,Friday,Gianni
36,6:25 PM,68,Sunny,Friday,Gianni
37,6:25 PM,68,Sunny,Friday,Gianni
35,6:25 PM,68,Sunny,Friday,Gianni
32,6:27 PM,68,Sunny,Friday,Gianni
30,6:27 PM,68,Sunny,Friday,Gianni
32,6:27 PM,68,Sunny,Friday,Gianni
31,6:28 PM,68,Sunny,Friday,Gianni
34,6:28 PM,68,Sunny,Friday,Gianni
38,6:28 PM,68,Sunny,Friday,Gianni
30,6:28 PM,68,Sunny,Friday,Gianni
30,6:29 PM,68,Sunny,Friday,Gianni
33,6:29 PM,68,Sunny,Friday,Gianni
36,6:30 PM,68,Sunny,Friday,Gianni
36,6:30 PM,68,Sunny,Friday,Gianni
27,6:30 PM,68,Sunny,Friday,Gianni
33,6:31 PM,68,Sunny,Friday,Gianni
39,6:31 PM,68,Sunny,Friday,Gianni
33,6:31 PM,68,Sunny,Friday,Gianni
28,6:31 PM,68,Sunny,Friday,Gianni
29,6:32 PM,68,Sunny,Friday,Gianni
32,6:32 PM,68,Sunny,Friday,Gianni
40,6:32 PM,68,Sunny,Friday,Gianni
34,6:32 PM,68,Sunny,Friday,Gianni
38,6:33 PM,68,Sunny,Friday,Gianni
33,6:33 PM,68,Sunny,Friday,Gianni
39,6:33 PM,68,Sunny,Friday,Gianni
33,7:12 PM,65,Sunny,Friday,Sam
21,7:14 PM,65,Sunny,Friday,Sam
24,7:14 PM,65,Sunny,Friday,Sam
28,7:15 PM,65,Sunny,Friday,Sam
39,7:18 PM,65,Sunny,Friday,Sam
24,7:19 PM,65,Sunny,Friday,Sam
24,7:19 PM,65,Sunny,Friday,Sam
32,7:21 PM,65,Sunny,Friday,Sam
40,7:21 PM,65,Sunny,Friday,Sam
24,7:21 PM,65,Sunny,Friday,Sam
40,7:22 PM,65,Sunny,Friday,Sam
36,7:22 PM,65,Sunny,Friday,Sam
34,7:22 PM,65,Sunny,Friday,Sam
28,7:23 PM,65,Sunny,Friday,Sam
28,7:23 PM,65,Sunny,Friday,Sam
20,7:24 PM,65,Sunny,Friday,Sam
31,7:25 PM,65,Sunny,Friday,Sam
28,7:25 PM,65,Sunny,Friday,Sam
40,7:25 PM,65,Sunny,Friday,Sam
22,7:25 PM,65,Sunny,Friday,Sam
20,7:25 PM,65,Sunny,Friday,Sam
22,7:26 PM,65,Sunny,Friday,Sam
36,7:26 PM,65,Sunny,Friday,Sam
34,7:26 PM,65,Sunny,Friday,Sam
28,7:27 PM,65,Sunny,Friday,Sam
35,7:27 PM,65,Sunny,Friday,Sam
28,7:27 PM,65,Sunny,Friday,Sam
36,7:28 PM,65,Sunny,Friday,Sam
30,7:28 PM,65,Sunny,Friday,Sam
40,7:28 PM,65,Sunny,Friday,Sam
23,7:28 PM,65,Sunny,Friday,Sam
38,7:29 PM,65,Sunny,Friday,Sam
26,7:29 PM,65,Sunny,Friday,Sam
35,7:29 PM,65,Sunny,Friday,Sam
32,7:29 PM,65,Sunny,Friday,Sam
35,7:30 PM,65,Sunny,Friday,Sam
26,7:30 PM,65,Sunny,Friday,Sam
25,7:30 PM,65,Sunny,Friday,Sam
29,7:30 PM,65,Sunny,Friday,Sam
27,7:31 PM,65,Sunny,Friday,Sam
33,7:31 PM,65,Sunny,Friday,Sam
34,7:32 PM,65,Sunny,Friday,Sam
36,7:32 PM,65,Sunny,Friday,Sam
29,7:32 PM,65,Sunny,Friday,Sam
33,7:32 PM,65,Sunny,Friday,Sam
20,7:33 PM,65,Sunny,Friday,Sam
24,7:33 PM,65,Sunny,Friday,Sam
26,7:34 PM,65,Sunny,Friday,Sam
29,7:34 PM,65,Sunny,Friday,Sam
34,7:34 PM,65,Sunny,Friday,Sam
